AT90,DTCO,RHOZ,RO,LATITUD,TOC_COE,COE_IC_INF,COE_IC_SUP,TOC_CUERVO,CUERVO_IC_SUP,CUERVO_IC_INF,DEPTH
4.90309,66.6757,2.6204,1.27,-38.2673,0.00611,0.0,1.05205,0.0,1.56387,0.0,2585.466
19.45853,77.1694,2.8101,1.55,-38.2219,0.0,0.0,0.05206,0.0,0.0,0.0,2592.7812
11.91269,73.7092,2.628,1.09,-37.5103,0.1426,0.0,1.20963,0.0,2.05446,0.0,2599.944
7.11017,80.9985,2.6198,1.83,-37.657,0.24389,0.0,1.32616,0.05264,2.37577,0.0,2602.992
10.03622,88.1255,2.5054,1.55,-38.2219,2.32708,0.96378,3.84439,2.4546,4.77472,0.13447,2614.32
13.28832,87.9971,2.4827,1.61,-38.0037,2.75433,1.35282,4.31418,2.94494,5.26475,0.62512,2615.03
18.20371,88.7309,2.4685,1.61,-38.0037,3.24068,1.80141,4.84255,3.33808,5.65772,1.01844,2615.391
15.05983,81.4495,2.526,1.55,-38.2219,1.70128,0.46931,3.07243,1.89648,4.21708,0.0,2615.6
18.31133,90.1002,2.4719,1.61,-38.0037,3.27254,1.83008,4.87796,3.34324,5.66288,1.0236,2616.918
8.54929,82.6819,2.5233,1.55,-38.2219,1.67676,0.45125,3.04072,1.82604,4.14671,0.0,2617.82
14.81972,82.8532,2.5426,1.55,-38.2219,1.70128,0.46931,3.07243,1.66936,3.99019,0.0,2618.71
9.12809,82.8316,2.5845,1.61,-38.0037,1.18334,0.07721,2.41444,0.80266,3.12458,0.0,2619.742
81.98983,63.0634,2.6547,1.09,-37.5103,0.0,0.0,1.02954,0.0,1.71868,0.0,2621.8896
11.19051,80.6897,2.5471,1.61,-38.0037,1.61725,0.40742,2.96375,1.39985,3.72099,0.0,2622.242
9.39832,87.3286,2.5403,1.55,-38.2219,1.78871,0.53362,3.1856,1.78165,4.10236,0.0,2622.92
10.20023,87.7273,2.5345,1.55,-38.2219,1.78871,0.53362,3.1856,1.92729,4.24785,0.0,2623.11
9.29031,82.5004,2.5652,1.61,-38.0037,1.49838,0.31948,2.81047,1.11831,3.4398,0.0,2624.841
14.62245,72.1241,2.6301,1.61,-38.0037,0.33358,0.0,1.42894,0.0,2.00852,0.0,2627.965
12.9226,91.0561,2.5035,1.55,-38.2219,2.57736,1.18843,4.1232,2.70823,5.02818,0.38828,2629.01
11.5149,89.9447,2.4844,1.55,-38.2219,2.55572,1.16892,4.0992,2.96276,5.28256,0.64296,2629.78
36.2535,82.6484,2.4381,1.42,-38.6713,2.75412,1.35262,4.31396,3.82727,6.14679,1.50774,2631.66
28.08601,74.3374,2.5136,1.55,-38.2219,1.42763,0.26638,2.72006,1.96871,4.28924,0.0,2631.79
6.68144,89.3545,2.5016,1.61,-38.0037,2.25852,0.90595,3.76389,2.45427,4.77439,0.13415,2631.806
27.2452,82.9717,2.4577,1.42,-38.6713,2.46094,1.08085,3.99694,3.38711,5.70674,1.06749,2632.14
20.28804,83.6628,2.4273,1.42,-38.6713,2.31934,0.95743,3.83511,3.89883,6.21835,1.57932,2633.07
16.07644,64.3467,2.7235,1.27,-38.2673,0.0,0.0,0.0,0.0,0.20867,0.0,2633.6244
25.1617,82.4738,2.4478,1.42,-38.6713,2.47538,1.09357,4.01329,3.52265,5.84223,1.20306,2633.82
20.60298,83.4884,2.4443,1.42,-38.6713,2.30241,0.94269,3.81575,3.57436,5.89393,1.25479,2634.21
14.043,84.1906,2.416,1.42,-38.6713,3.13908,1.71022,4.72936,4.02494,6.34444,1.70543,2634.9
9.72411,82.3361,2.5174,1.55,-38.2219,1.99094,0.68712,3.44206,1.95373,4.27427,0.0,2635.56
7.63924,88.4464,2.5106,1.55,-38.2219,2.20419,0.86007,3.70016,2.29207,4.61232,0.0,2635.9
13.86245,85.0302,2.4419,1.42,-38.6713,2.73693,1.33641,4.29568,3.5695,5.88907,1.24993,2636.15
23.89516,83.9165,2.4448,1.42,-38.6713,2.57993,1.19071,4.1261,3.63189,5.95145,1.31233,2637.01
31.19823,79.746,2.4733,1.42,-38.6713,3.48113,2.01969,5.10767,2.98721,5.307,0.66742,2637.23
13.54971,76.845,2.5634,1.55,-38.2219,1.52237,0.33734,2.84127,0.99552,3.31718,0.0,2637.64
11.0966,82.8036,2.5532,1.61,-38.0037,1.55077,0.35839,2.87785,1.39363,3.71477,0.0,2637.757
20.84299,84.3766,2.4389,1.42,-38.6713,3.49823,2.0353,5.12642,3.72207,6.04161,1.40253,2638.98
19.27924,72.6384,2.5991,1.61,-38.0037,1.06701,0.0,2.27055,0.30375,2.62645,0.0,2639.72
11.41353,77.5276,2.5867,1.61,-38.0037,1.12575,0.03214,2.3429,0.58108,2.90334,0.0,2639.998
9.32438,83.103,2.5314,1.55,-38.2219,1.82534,0.56069,3.23286,1.73136,4.05213,0.0,2640.12
31.21692,79.0271,2.4929,1.42,-38.6713,2.90456,1.49623,4.472,2.59686,4.91688,0.27684,2640.87
22.74836,80.661,2.4733,1.42,-38.6713,2.9413,1.53119,4.51072,2.93236,5.25218,0.61254,2641.11
16.76062,74.3215,2.5738,1.55,-38.2219,1.56262,0.36717,2.89313,0.76435,3.08633,0.0,2641.82
14.46072,87.4244,2.465,1.61,-38.0037,3.46367,2.00375,5.08852,3.26781,5.58748,0.94815,2642.47
14.17425,78.1679,2.5037,1.42,-38.6713,2.10688,0.78017,3.58348,2.11493,4.43533,0.0,2643.12
55.26371,71.961,2.5271,1.42,-38.6713,1.99211,0.68802,3.44354,1.82826,4.14893,0.0,2643.83
35.12368,73.1545,2.5175,1.42,-38.6713,1.1169,0.02527,2.33185,1.91283,4.23341,0.0,2644.0
14.00264,89.6297,2.4644,1.61,-38.0037,3.54647,2.07915,5.17956,3.37466,5.69429,1.05503,2644.109
30.50703,75.8011,2.4833,1.42,-38.6713,2.24528,0.89499,3.74813,2.6085,4.92851,0.28848,2644.71
69.28672,67.0202,2.5748,1.55,-38.2219,2.37961,1.00814,3.90601,0.84076,3.16263,0.0,2645.33
83.28753,64.862,2.597,1.55,-38.2219,1.87607,0.59945,3.29691,0.42288,2.74539,0.0,2646.8
